Location,Area,No. of Bedrooms,Price
Thane Belapur Road Kalwa,560,1,10800000
mumbai,653,1,11100000
Suburbs Mumbai,550,1,8000000
Thane,1375,3,2800000
Mira Road and Beyond,400,1,6800000
Mira Road and Beyond,890,2,3300000
Mumbai Central,530,1,4100000
Mira Road and Beyond,590,1,6500000
Mira Road and Beyond,940,2,7600000
Mira Road and Beyond,1760,2,6400000
Mira Road and Beyond,1180,2,5500000
Mumbai Central,1115,2,2800000
Mumbai Central,525,1,3000000
Mumbai Nashik Expressway,500,1,5400000
Dombivali East,675,1,13000000
Bhandup West,775,1,21500000
Bhandup West,1225,3,6500000
Thane Belapur Road Kalwa,675,1,5300000
Thane Belapur Road Kalwa,560,1,10800000
mumbai,653,1,11100000
Suburbs Mumbai,550,1,8000000
Thane,1375,3,2800000
Mira Road and Beyond,400,1,6800000
Mira Road and Beyond,890,2,3300000
Mumbai Central,530,1,4100000
Mira Road and Beyond,590,1,6500000
Mira Road and Beyond,940,2,7600000
Mira Road and Beyond,1760,2,6400000
Mira Road and Beyond,1180,2,5500000
Mumbai Central,1115,2,2800000
Mumbai Central,525,1,3000000
Mumbai Nashik Expressway,500,1,3300000
Mumbai Central,530,1,4500000
Andheri West,390,1,17000000
Magathane,1050,2,19000000
Rajendra Nagar,1150,3,20500000
Magathane,1050,2,21000000
Magathane,1250,2,24000000
Dattapada,1300,3,15000000
Dattapada,950,2,9800000
Magathane,585,1,27000000
Magathane,1250,3,25000000
Thakur Village,1357,3,21500000
Kandivali East,900,3,39000000
Vasant Vihar,2150,4,31000000
Vasant Vihar,2150,3,15000000
Vasant Vihar,1109,3,39000000
Vasant Vihar,1902,3,12200000
Kolshet Road,1250,2,12000000
Kolshet Road,1210,2,10300000
Kolshet Road,1050,2,8800000
Kolshet Road,779,2,5100000
Ramdev Park,383,1,7300000
kolshet,640,2,20500000
Magathane,1050,2,21000000
Magathane,1250,2,24000000
Dattapada,1300,3,15000000
Dattapada,950,2,9800000
Magathane,585,1,27000000
Magathane,1250,3,25000000
Thakur Village,1357,3,21500000
Kandivali East,900,3,7300000
kolshet,640,2,6100000
PARSIK NAGAR,770,1,15800000
Manpada,1325,3,2900000
Taloja,695,1,4500000
Kharghar,650,1,9600000
Kharghar,1083,2,11000000
Kharghar,1364,3,4800000
Taloja,1110,2,2900000
Taloja,695,1,6300000
Taloja,1050,2,7050000
Kharghar,1000,2,7500000
Sector-35 Kamothe,1050,2,9600000
Kharghar,1083,2,11000000
Kharghar,1364,3,4800000
Taloja,1110,2,2900000
Taloja,695,1,6300000
Taloja,1050,2,7050000
Kharghar,1000,2,7500000
Sector-35 Kamothe,1050,2,53000000
Sector 58A Seawoods Navi Mumbai,1900,4,5700000
Mira Road and Beyond,900,2,42500000
Goregaon East,1777,3,4665000
Diva,662,2,8800000
kandivali,820,2,7500000
kandivali,685,1,20500000
Borivali,1155,3,14500000
Borivali,829,2,35000000
Ghatkopar,1805,3,15000000
Ghatkopar,815,2,58500000
Ghatkopar,3410,4,28600000
Ghatkopar,1766,3,28600000
Ghatkopar East,1733,3,18000000
Goregaon,1342,2,15500000
Malad West,1047,2,6300000
Sector 17 Ulwe,980,2,7100000
Thane West,700,1,11000000
Andheri East,620,1,15000000
Andheri East,950,2,32500000
Gundavali Gaothan,1100,2,2164000
Badlapur,571,1,31500000
Andheri East,1356,3,5994000
Mira Road East,750,1,2534000
Badlapur,642,1,17000000
Andheri East,1080,2,19700000
Marol,880,2,2105000
KASHELI,495,1,11500000
Kondivita Road,800,1,25000000
Andheri East,1356,2,26500000
Koldongri,1100,3,4800000
Mira Road East,650,1,18500000
Saki Naka,1242,3,5800000
Mira Road East,675,1,18500000
Saki Naka,1242,3,10000000
Jogeshwari West,650,1,2350000
Shirgaon,625,1,6800000
Bhandup West,565,1,7800000
Mira Road East,956,2,3200000
Virar,650,1,4800000
Mira Road East,580,1,3100000
Virar,650,1,2600000
Virar,650,1,10500000
Bhayandar West,680,1,6000000
Mira Road East,650,2,4500000
Bhayandar East,560,1,22000000
Kharghar,2000,3,10000000
Kharghar,1140,2,15500000
Kharghar,1530,3,15500000
Kharghar,1530,3,32500000
Versova,940,2,3100000
Dombivali East,445,1,2100000
Dombivali East,400,1,100000000
Tardeo,3321,4,160000000
Lower Parel,6381,4,25000000
Thane West,2394,4,120000000
Bandra West,2893,4,6500000
Goregaon East,974,2,17000000
Rajendra Nagar,800,2,80000000
Hanuman Nagar,2150,3,250000000
Hanuman Nagar,4200,5,60000000
Central Avenue,1100,3,75000000
worli sea face,1500,2,150000000
Breach Candy,2305,4,25000000
Sea Face,2500,7,55000000
Shiv Sagar Estate,1225,3,50000000
Grant Road West,1800,3,4350000
Sriprastha,800,2,40000000
Off Nepean Sea Road,600,2,4700000
Sriprastha,840,2,4300000
Sriprastha,900,2,3700000
Morya Nagar,890,2,120000000
Upper Worli,3500,7,3300000
Morya Nagar,620,1,153600000
worli sea Fase,3200,5,80000000
Hanuman Nagar,2150,3,250000000
Hanuman Nagar,4200,5,60000000
Central Avenue,1100,3,10500000
Andheri West,723,1,12000000
Chembur,617,1,10000000
Borivali East,552,1,15500000
Borivali East,845,2,13799999
Kandivali East,1137,2,19600000
Kandivali West,1561,3,21000000
Kandivali West,784,3,19900000
Kandivali West,1550,3,4100000
Sector 22 Kamothe,650,1,13500000
Sector 22 Kamothe,1560,3,3750000
Kandivali East,340,1,5700000
Thane West,550,1,7600000
Kamothe,1098,2,9200000
Kamothe,1310,2,8000000
Kamothe,1109,2,4200000
Kamothe,650,1,180000000
Powai,2110,3,62500000
Agripada,1165,4,260000000
Sion,5642,6,90000000
Kamothe,1396,3,85000000
Girgaon,1106,3,3700000
IT Colony,790,2,3500000
IT Colony,670,2,4100000
Sector 22 Kamothe,650,1,13500000
Sector 22 Kamothe,1560,3,7200000
Bhayandarpada,699,2,3750000
Kandivali East,340,1,5700000
Thane West,550,1,7600000
Kamothe,1098,2,9200000
Kamothe,1310,2,8000000
Kamothe,1109,2,4200000
Kamothe,650,1,9000000
Kamothe,1128,2,8500000
Kamothe,1258,2,9400000
Kamothe Sector 16,1245,2,6800000
Kamothe,1101,2,11200000
Sector-8 Ulwe,1532,3,12100000
Sector-18 Ulwe,1515,3,9200000
Sector-18 Ulwe,1175,2,25500000
Sector-3 Ulwe,3000,5,11600000
Sector-3 Ulwe,1585,3,9000000
Sector-3 Ulwe,1220,2,9000000
Sector 5 Ulwe,1220,2,14500000
Sector-18 Ulwe,1655,3,8900000
Sector-18 Ulwe,1150,2,9500000
Sector-18 Ulwe,1100,2,12000000
Sector-18 Ulwe,1600,3,4000000
Sector-24 Kamothe,620,1,13899999
Sector-8 Ulwe,1690,3,9400000
Kamothe Sector 16,1192,2,5500000
Kamothe,665,1,9000000
Sector-3 Ulwe,1220,2,11000000
Sector-18 Ulwe,1470,3,8500000
Sector 17 Ulwe,1040,2,32300000
Sector-8 Ulwe,2900,5,8900000
Sector 36 Kharghar,1475,3,35500000
Phase 2,3400,4,11000000
Sector 36 Kharghar,1500,3,6000000
Sector 20 Kharghar,650,1,7500000
Sector-18 Ulwe,1055,2,24500000
Sector 30 Kharghar,2200,4,9000000
Sector-18 Ulwe,1129,2,5000000
Sector12 Kamothe,690,1,25000000
Sector35D Kharghar,3000,5,11900000
Sector 6,1585,3,9000000
Sector 5 Ulwe,1220,2,9100000
Sector-18 Ulwe,1180,2,14500000
vasant vihar thane west,1109,3,11500000
vasant vihar thane west,1065,2,18500000
Hiranandani Meadows,1130,3,28500000
Central Avenue,1735,3,11500000
vasant vihar thane west,1065,2,28500000
Hiranandani Meadows,1495,3,11000000
Malad West,650,1,10000000
Malad,650,1,46000000
Tardeo,1174,2,70000000
Haji Ali,1466,2,140000000
Tardeo,3168,5,52500000
Mahalaxmi,946,2,170000000
Mira Road East,2963,4,57000000
Ghatkopar West,1203,4,180000000
Powai,2110,3,62500000
Agripada,1165,4,260000000
Sion,5642,6,90000000
Kamothe,1396,3,85000000
Girgaon,1106,3,3700000
IT Colony,790,2,3500000
IT Colony,670,2,8100000
Sector 19 Kharghar,1250,2,4500000
mumbai,653,1,7700000
Kamothe,1125,2,11200000
Majiwada thane,1400,3,8500000
Yogi Hills,850,2,4500000
Hiranandani Meadows,550,1,18000000
Andheri West,1006,2,7600000
Kalyan West,1127,2,16000000
Jogeshwari West,950,2,6500000
Sector 19 Nerul,500,1,5100000
Owale,427,1,2600000
Thane West,384,1,18000000
MG Road,1050,2,420000000
Worli South Mumbai,8511,5,12100000
roadpali navimumbai,1525,3,8400000
roadpali navimumbai,1139,2,8250000
roadpali navimumbai,1139,2,5800000
taloja panchanand,1060,2,5800000
taloja panchanand,1025,2,3600000
Taloja Bypass Nitalas Link Road,690,1,3500000
taloja panchanand,670,1,7053000
Navi Basti,1085,2,4713000
Navi Basti,725,1,11500000
Mumbai Highway,1450,3,14800000
Sector 20 Kharghar,1980,3,14800000
Sector 20 Kharghar,1985,3,16500000
Navi Basti,1482,3,2800000
Rasayani,482,1,3500000
taloja panchanand,670,1,11500000
Sector 10 Kamothe,1450,3,4200000
Kamothe,555,1,2800000
Rasayani,482,1,65000000
Santacruz West,1600,4,95100000
Santacruz West,3500,5,65000000
Andheri West,1600,4,110000000
Andheri West,2590,3,85000000
Andheri West,3733,4,30000000
Andheri West,1800,4,80000000
Juhu,2000,4,120000000
Khar West,2600,4,70000000
Khar West,1800,4,6800000
Kalyan West,1065,2,7700000
Kandivali East,510,1,8100000
Kharghar,1079,2,8700000
kavesar,1100,2,4500000
Owale,555,1,8000000
Kalamboli,1221,2,3850000
Roadpali,650,1,3900000
Kharghar,380,1,9000000
Kopara,1171,2,19000000
Mumbai Highway,1503,3,13500000
Kharghar,1415,3,8400000
Sector 20 Kharghar,776,2,13500000
Kharghar,1414,3,12000000
Sector 11 Kharghar,1302,3,8500000
Sector 19 Kharghar,966,2,20200000
Goregaon East,1040,2,10200000
Malad West,585,1,8500000
Seawoods,600,1,5300000
royal palms goregaon east,545,1,7800000
Dronagiri,1365,2,119900000
Andheri West,3140,3,4300000
Goregaon East,526,1,7200000
Goregaon East,937,3,4199000
Goregaon East,1278,3,70000000
Khar West,1800,4,6800000
Kalyan West,1065,2,4500000
Mira Road East,693,1,7700000
Kandivali East,510,1,8100000
Kharghar,1079,2,4200000
Kharghar,640,1,11500000
Kharghar,1182,2,8000000
Kharghar,1000,2,16000000
Kharghar,1600,3,14500000
Kharghar,1655,3,6500000
Kharghar,675,1,9500000
Kharghar,1050,2,8000000
Kharghar,800,2,11000000
mumbai,1100,2,9200000
Kharghar,1250,2,5200000
Kharghar,590,1,6000000
Kharghar,675,1,13000000
Kharghar,1200,3,10500000
Kharghar,911,2,11100000
Kharghar,1117,2,12700000
Kharghar,1125,2,6000000
Kharghar,560,1,5500000
Kharghar,650,1,9800000
Kharghar,1090,2,10000000
Kharghar,1463,2,13000000
Kharghar,1500,3,5500000
Kharghar,640,1,7200000
Kharghar,860,1,15000000
Kharghar,1300,3,10500000
Kharghar,1075,2,4600000
Kharghar,600,1,5500000
Kharghar,450,1,5000000
Kharghar,650,1,8000000
Kharghar,800,2,6000000
Kharghar,675,1,5200000
Kharghar,590,1,13000000
Kharghar,1300,2,16000000
Kharghar,1600,3,14500000
Kharghar,1655,3,9500000
Kharghar,1050,2,8000000
Kharghar,800,2,8000000
Kharghar,914,2,11000000
Kharghar,1100,2,8000000
Kharghar,1000,2,16000000
Kharghar,1600,3,14500000
Kharghar,1655,3,6500000
Kharghar,675,1,9500000
Kharghar,1050,2,8000000
Kharghar,800,2,11000000
mumbai,1100,2,9200000
Kharghar,1250,2,5200000
Kharghar,590,1,6000000
Kharghar,675,1,13000000
Kharghar,1200,3,10500000
Kharghar,911,2,11100000
Kharghar,1117,2,12700000
Kharghar,1125,2,6000000
Kharghar,560,1,5500000
Kharghar,650,1,9800000
Kharghar,1090,2,10000000
Kharghar,1463,2,13000000
Kharghar,1500,3,5500000
Kharghar,640,1,7200000
Kharghar,860,1,15000000
Kharghar,1300,3,10500000
Kharghar,1075,2,4600000
Kharghar,600,1,5500000
Kharghar,450,1,5000000
Kharghar,650,1,8000000
Kharghar,800,2,6000000
Kharghar,675,1,5200000
Kharghar,590,1,13000000
Kharghar,1300,2,16000000
Kharghar,1600,3,14500000
Kharghar,1655,3,9500000
Kharghar,1050,2,8000000
Kharghar,800,2,8000000
Kharghar,914,2,11000000
Kharghar,1100,2,9200000
Kharghar,1250,2,3900000
Andheri,1120,2,21800000
Kandivali East,999,2,32500000
Dadar West,980,2,13000000
Kharghar,1500,3,5500000
Kharghar,640,1,7200000
Kharghar,860,1,15000000
Kharghar,1300,3,10500000
Kharghar,1075,2,4600000
Kharghar,600,1,5500000
Kharghar,450,1,5000000
Kharghar,650,1,8000000
Kharghar,800,2,6000000
Kharghar,675,1,5200000
Kharghar,590,1,13000000
Kharghar,1300,2,16000000
Kharghar,1600,3,14500000
Kharghar,1655,3,9500000
Kharghar,1050,2,8000000
Kharghar,800,2,8000000
Kharghar,914,2,11000000
Kharghar,1100,2,9200000
Kharghar,1250,2,7575000
Pokhran 2,550,1,4300000
Goregaon East,526,1,7200000
Goregaon East,937,3,4199000
Goregaon East,1278,3,12500000
Mulund West,800,2,7575000
Pokhran 2,550,1,7800000
Thane West,545,1,7500000
Majiwada,600,1,7575000
Pokhran 2,550,1,7800000
vrindavan society,545,1,5700000
Kharghar,670,1,10000000
Mira Road East,825,2,4600000
Ulwe,715,1,6000000
Sector 23 Ulwe,1040,2,5000000
Panvel,1000,2,16500000
Kandivali East,860,2,3500000
Dombivli (West),590,2,13500000
Thane West,995,2,20000000
CBD Belapur East,1500,3,13500000
CBD Belapur East,1200,2,19500000
CBD Belapur East,1400,3,17000000
Parel Village,670,1,39400000
Karave Nagar,2080,3,7800000
Sector35D Kharghar,1125,2,7800000
Sector 19A Nerul,600,1,16000000
Antop Hill,650,1,27500000
Antop Hill,1250,3,18000000
Wadala East Wadala,769,1,21500000
Suman Nagar,1010,2,14900000
Wadala East Wadala,698,1,20500000
Antop Hill,1000,2,26000000
Wadala East Wadala,1371,3,21000000
Bhakti Park,1130,2,12800000
Antop Hill,700,1,12000000
Antop Hill,700,1,18000000
Wadala East Wadala,1060,2,47000000
Wadala East Wadala,2600,3,14000000
Pant Nagar,700,1,80000000
Hanuman Chowk,2453,4,29000000
Wadala East Wadala,1543,3,32500000
Wadala East Wadala,1250,3,21000000
Bhakti Park,1135,2,55000000
Lower Parel,1557,3,13500000
Thane West,995,2,20000000
CBD Belapur East,1500,3,13500000
CBD Belapur East,1200,2,19500000
CBD Belapur East,1400,3,20000000
CBD Belapur East,1400,3,11500000
CBD Belapur East,960,2,11000000
Bandra East,440,1,66600000
Willingdon,833,2,11000000
Ulwe,1150,2,4000000
Sector 18 Kamothe,625,1,6800000
Kamothe,1000,2,4900000
Sector 21 Kamothe,620,1,59500000
Dahisar,2730,4,37000000
Dahisar,1361,2,36500000
Dahisar,1250,2,28000000
Dahisar,1850,3,37000000
Dahisar,1361,2,43000000
Dahisar,1850,3,37000000
Dahisar,1361,2,36500000
Dahisar,1250,2,28000000
Dahisar,1850,3,37000000
Dahisar,1361,2,43000000
Dahisar,1850,3,29000000
Dahisar,980,2,35000000
Dahisar,873,2,26000000
Dahisar,1230,3,26000000
Dahisar,1250,3,44000000
Dahisar,1721,3,11000000
VishnuNagar,585,1,66600000
Willingdon,833,2,11000000
Ulwe,1150,2,4000000
Sector 18 Kamothe,625,1,6800000
Kamothe,1000,2,4900000
Sector 21 Kamothe,620,1,59500000
Dahisar,2730,4,4050000
Vichumbe,675,1,16500000
Kharghar,1500,3,13500000
Thane West,1140,3,9900000
Thane West,771,2,40000000
Kandivali West,2000,4,14900000
Vashi,900,2,8500000
Poonam Sagar Complex,990,2,45000000
Santacruz East,5500,4,60000000
Dadar West,1836,3,5600000
Kalyan West,1000,3,14800000
Thane West,1505,3,15400000
Thane West,1570,3,12900000
Thane West,1311,3,12700000
Thane West,1290,3,11500000
Thane West,1170,2,10800000
Thane West,1102,2,9485000
Thane West,963,2,8184999
Thane West,831,2,11900000
Thane West,1209,2,9377000
Thane West,952,2,9958000
Thane West,1011,2,9997000
Thane West,1015,2,11100000
Thane West,1135,2,10400000
Thane West,1065,2,92400000
Andheri West,3080,3,113400000
Andheri West,3780,4,139500000
Andheri West,4650,5,14800000
Thane West,1505,3,15400000
Thane West,1570,3,12900000
Thane West,1311,3,12700000
Thane West,1290,3,11500000
Thane West,1170,2,10800000
Thane West,1102,2,9485000
Thane West,963,2,8184999
Thane West,831,2,11900000
Thane West,1209,2,9377000
Thane West,952,2,9958000
Thane West,1011,2,9997000
Thane West,1015,2,11100000
Thane West,1135,2,10400000
Thane West,1065,2,16500000
Thane West,1465,3,12000000
Thane West,950,2,2800000
Mulund East,375,1,4800000
Mira Road East,650,1,18000000
Ghatkopar West,630,2,4300000
Powai Lake,885,2,7200000
Kamothe,1012,2,10000000
Kamothe,1129,2,4925000
Kamothe,600,1,7000000
Kamothe,1012,2,12200000
Kamothe,1565,3,5200000
Kamothe,630,1,10400000
Kamothe,1129,2,10400000
Kamothe,1129,2,5100000
Kamothe,605,1,5000000
Kamothe,600,1,5100000
Kamothe,605,1,7900000
Kamothe,1000,2,9500000
Kamothe,1310,2,9500000
Kamothe,1225,2,9300000
Kamothe,1310,2,12500000
Kamothe,1540,3,12400000
Kamothe,1565,3,9800000
Kamothe,1225,2,4800000
Kamothe,600,1,4950000
Kamothe,635,1,5300000
Kamothe,650,1,23000000
Sector-8 Sanpada,1680,2,32500000
Sector-9 Ghansoli,2415,4,14800000
Airoli,1245,2,3600000
Balkum,600,1,7000000
Hiranandani Estates,840,2,5898000
Majiwada,600,1,10800000
Majiwada,1209,2,9600000
kavesar,1100,2,6498999
kavesar,730,1,9497000
kavesar,1200,2,6497000
Vartak Nagar,600,1,7998000
Vartak Nagar,990,2,9496000
Thane West,1100,2,12200000
Balkum,1327,3,5894000
Majiwada,585,1,9497000
kavesar,1200,2,6497000
Vartak Nagar,600,1,7998000
Vartak Nagar,990,2,9496000
Thane West,1100,2,12200000
Balkum,1327,3,5894000
Majiwada,585,1,7494000
Majiwada,800,2,6498000
Vartak Nagar,570,1,9300000
kavesar,1100,2,7200000
Hiranandani Estates,860,2,10500000
Majiwada,1170,2,6498000
Vartak Nagar,570,1,12200000
Balkum,1327,3,10500000
Majiwada,1170,2,6498000
Vartak Nagar,570,1,7495999
Vartak Nagar,890,2,9499000
kavesar,1100,2,7300000
Majiwada,800,2,5900000
Majiwada,585,1,12400000
Vartak Nagar,1300,3,8400000
Rajendra Nagar,376,1,19000000
Charkop,764,2,22200000
dhanukarwadi,995,3,8500000
Vazira,405,1,4400000
Kalyan West,600,2,10500000
Link Road,400,1,7300000
Haware City,1149,3,4250000
Haware City,560,1,6000000
Mira Road East,650,1,26000000
Goregaon West,1045,2,8500000
Vasai West,1175,3,13000000
Four Bunglows,550,1,15900000
Borivali West,867,2,5550000
Palava,990,2,9900000
Borivali West,539,1,100000000
Oshiwara Police Station Road,3300,4,2700000
Virar,640,1,52500000
Khar West,1450,3,55000000
Bandra West,1900,3,72500000
Bandra West,1750,3,75000000
Andheri West,1875,3,75000000
Almeida Park,1600,3,35000000
Bandra West,1000,2,26000000
Goregaon West,1045,2,8500000
Vasai West,1175,3,29200000
Seven Bunglow,909,2,3200000
Vasai east,285,1,14200000
Malad West,950,2,59400000
Poddar Road,1080,2,100000000
Oshiwara Police Station Road,3300,4,80000000
Worli,3498,3,2100000
Mira Road East,245,1,7959999
Kalyan West,755,2,2350000
Badlapur East,430,1,3979999
Kalyan West,413,1,4100000
Kalyan West,465,1,4800000
Kalyan West,610,2,4380000
Kalyan West,610,2,4380000
Kalyan West,610,2,5060000
Kalyan West,650,2,4380000
Kalyan West,430,1,4800000
Kalyan West,485,1,5800000
Dombivali East,686,2,4580000
Kalyan West,430,1,2600000
Badlapur East,500,1,7500000
Kalyan West,660,2,4450000
Kalyan West,455,1,2840000
Ambernath East,466,1,5800000
Dombivali East,686,2,3500000
Kalyan West,450,1,5800000
Dombivali East,686,2,7100000
Kalyan West,660,2,8300000
Kalyan West,790,2,2600000
Badlapur East,500,1,2560000
Badlapur East,441,1,2400000
Badlapur,480,1,4650000
Kalyan West,525,1,5800000
Kalyan West,663,2,4200000
Kalyan West,440,1,3700000
Kalyan West,417,1,3700000
Taloja,650,1,4800000
Kharghar,660,1,41200000
Malad East,2300,4,12000000
Malad East,720,1,2800000
Taloja,510,1,2600000
Taloja,520,1,2400000
Taloja,490,1,2200000
Taloja,470,1,15000000
Chembur,800,2,55000000
Khar West,1225,3,65000000
Khar West,1175,3,8300000
Mira Road East,1095,2,5100000
Mira Road East,695,1,8100000
Mira Road East,1055,2,6800000
Mira Road East,875,2,5100000
Mira Road East,675,1,46000000
Worli,1150,2,105500000
Worli,2285,3,65000000
Gulmohar Road,1500,3,88000000
Mahalaxmi,2394,3,122500000
Worli,3150,4,71000000
Worli,2580,3,55000000
Parel,1125,2,145000000
Khar West,3800,4,65000000
Vile Parle E,2250,4,12800000
Pokhran Road No 2,750,2,12800000
Sainath Nagar,1100,2,22500000
Sainath Nagar,1900,3,19000000
Sainath Nagar,1600,3,27000000
Kapur Bawdi,2300,4,17500000
Manpada near Tiku ji ni wadi,2400,3,13200000
Kapur Bawdi,1120,2,2300000
Mira Road East,254,1,2000000
Mira Road East,220,1,8300000
Kandivali East,525,1,7400000
Nerul,650,1,9500000
Kolshet Industrial Area,826,2,7500000
PARSIK NAGAR,1050,2,5800000
PARSIK NAGAR,630,1,9000000
PARSIK NAGAR,985,2,9000000
PARSIK NAGAR,985,2,5000000
PARSIK NAGAR,650,1,7800000
PARSIK NAGAR,1000,2,4200000
Sector16 Ulwe,650,1,2300000
Mira Road East,254,1,2000000
Mira Road East,220,1,8300000
Kandivali East,525,1,11100000
Seawoods,1205,2,18900000
Thakur complex,1225,2,14000000
Borivali East,900,2,15000000
Kandivali East,1000,2,7600000
thakur village kandivali east,560,1,125000000
Kandivali East,5320,5,65000000
Kandivali East,2590,6,16500000
Kandivali East,1065,3,7400000
Bhandup West,650,1,8500000
Mira Road East,800,2,11000000
Majiwada thane,1102,2,15000000
Mumbai Agra National Highway,1400,3,13500000
Anand Nagar Thane West,1250,2,12800000
Majiwada thane,1100,2,19000000
Majiwada thane,1600,3,15000000
Majiwada thane,1400,3,12800000
Sainath Nagar,1100,2,22500000
Sainath Nagar,1900,3,19000000
Sainath Nagar,1600,3,14000000
Charkop Sector 8,1014,2,16500000
Kandivali East,1065,3,18900000
Thakur complex,1225,2,9100000
Thane West,920,2,29400000
Andheri,1450,3,22200000
Andheri,900,3,10500000
Borivali,980,2,13200000
Borivali East,918,2,14200000
Kandivali West,925,2,16000000
Malad East,1232,2,10300000
Malad East,975,2,8100000
Malad East,710,1,20099999
Malad West,1100,2,11700000
Malad West,840,2,2816000
Vasai,630,1,2596000
Vasai,590,1,8000000
Kharghar,950,2,4300000
Kharghar,800,1,8000000
Kharghar,1075,2,8300000
Kharghar,1050,2,4500000
Kharghar,600,1,5000000
Kharghar,650,1,8500000
Kharghar,1175,2,8500000
Kharghar,1050,2,9500000
Kharghar,1120,2,6500000
Kharghar,735,1,6000000
Kharghar,759,1,9500000
Kharghar,1120,2,7000000
Kharghar,735,1,6500000
Kharghar,649,1,6500000
Kharghar,660,1,8500000
Kharghar,1000,2,10500000
Kharghar,1120,2,13700000
Kharghar,1380,2,9500000
Kharghar,1120,2,9500000
Kharghar,1120,2,5500000
Kharghar,649,1,4200000
Kharghar,650,1,8000000
Kharghar,954,2,7800000
Kharghar,1000,2,6200000
Kharghar,650,1,27799999
Kharghar,1600,3,9500000
Kharghar,1120,2,15000000
Kharghar,1050,2,7900000
Kharghar,1040,2,5800000
Kharghar,735,1,4200000
Kharghar,650,1,4400000
Kharghar,620,1,6500000
Kharghar,735,1,6500000
Kharghar,735,1,6500000
Kharghar,735,1,10500000
Kharghar,1580,3,8500000
Kharghar,1115,2,7900000
Kharghar,1040,2,5500000
Kharghar,620,1,13500000
Kharghar,1677,3,15500000
Kharghar,1530,3,20000000
Kharghar,1600,3,10500000
Kharghar,1580,3,9500000
Kharghar,1075,2,9500000
Kharghar,1120,2,6900000
Kharghar,735,1,5200000
Kharghar,641,1,5300000
Kharghar,660,1,6000000
Kharghar,735,1,4200000
Kharghar,650,1,5200000
Kharghar,641,1,5300000
Kharghar,660,1,8500000
Kharghar,1100,2,6000000
Kharghar,735,1,5200000
Kharghar,641,1,11000000
Kharghar,1254,3,5300000
Kharghar,660,1,5200000
Kharghar,641,1,6000000
Kharghar,735,1,15500000
Kharghar,1530,3,10100000
Kharghar,1580,3,6000000
Kharghar,750,1,15000000
Kharghar,1380,3,12000000
Kharghar,1210,2,9500000
Kharghar,1120,2,5200000
Khar,525,1,15500000
Kharghar,1530,3,13000000
Kharghar,1498,3,12000000
Kharghar,1395,3,8700000
Kharghar,1050,2,4300000
Kharghar,800,1,2357000
Virar East,555,1,2500000
Virar East,540,1,11500000
Panvel,1133,2,2700000
Kalyan West,410,1,3500000
Kalyan West,565,1,5200000
Kalyan West,596,1,11000000
Mulund West,800,2,11000000
Jogeshwari East,350,1,2500000
Virar East,545,1,4300000
Mira Road East,650,1,5900000
Mira Road East,650,1,6559999
Mira Road East,965,2,7240000
Mira Road East,965,2,7940000
Mira Road East,965,2,7900000
Mira Road East,965,2,8100000
Mira Road East,965,2,9500000
Kandivali West,665,1,25800000
Goregaon West,1400,2,8500000
Mira Road East,840,2,2394000
Titwala,640,1,2394000
Titwala,640,1,2436000
Thane West,575,1,12900000
Prabhadevi,310,1,2225000
Ambernath East,595,1,2565000
Badlapur East,675,1,15300000
Andheri,1040,2,9000000
Dahisar East,793,2,10500000
Vile Parle,760,1,24000000
kandivali,1240,3,7200000
kandivali,693,1,7000000
kandivali,627,1,14500000
kandivali,1020,2,19000000
kandivali,1290,2,22500000
kandivali,1495,3,36500000
Ghatkopar,2200,4,24500000
Ghatkopar,1558,3,23500000
Goregaon,1415,3,18500000
Goregaon,1202,2,25600000
Goregaon West,1487,3,18500000
Goregaon West,1065,2,17000000
Goregaon,1215,2,9000000
Goregaon,650,1,77500000
Goregaon,3507,6,18000000
Goregaon,987,2,21000000
Goregaon,1040,2,43500000
Goregaon East,2015,4,32500000
Goregaon East,1502,3,13500000
Malad East,994,2,18000000
Vikhroli,900,2,82500000
Khar,1220,3,6600000
Bhandup West,555,1,2900000
Dombivali East,620,1,70000000
Marine Lines,1318,3,60000000
Juhu,1634,3,27000000
Juhu,872,1,70000000
Juhu,1527,3,120000000
Juhu,3049,5,100000000
Napeansea Road,3313,4,80000000
Napeansea Road,2436,3,42500000
Bandra East,1305,2,60000000
Bandra East,1750,3,250000000
Bandra Kurla Complex,5200,5,8200000
sec 50 new,1000,2,19000000
Marol,1411,1,15500000
Vakola Pipeline Road,1000,2,11000000
Chembur,600,1,3853000
Neral,860,2,65000000
Thane West,2998,4,4907000
Panvel,755,1,8100000
Mira Road East,1137,2,90000000
Khar West,1500,3,6500000
Shil Phata,700,2,5500000
Shil Phata,650,2,25000000
Malad East,1080,3,8323999
Kalwa,1051,2,13000000
Andheri East,903,2,2500000
Vangani,690,1,45000000
Ville Parle East,1400,3,50100000
Central Avenue,2800,4,33800000
Chembur,1500,3,12000000
Chembur,600,1,12000000
Chembur,600,1,31500000
Andheri West,1470,3,23900000
Andheri West,400,2,8000000
Kamothe,1095,2,25000000
Kharghar,2400,5,4907000
Panvel,755,1,7600000
Palava,1350,3,4000000
Palava,750,1,6500000
Palava,1150,3,6500000
Palava,1150,3,3900000
Palava,650,1,5000000
Palava,900,2,52500000
Juhu,1800,3,55000000
Santacruz West,1780,3,85000000
